question,options,answer,id,category,sub_category,created_at
In which year did the Super Eagles of Nigeria win their first Africa Cup of Nations (AFCON) title?,"['1980', '1994', '2013', '1992']",A,02905277-b017-4097-a4e3-c520b66e737f,Nigerian Sports,Super Eagles at AFCON ,2025-03-23 15:36:36+00:00
"Which Nollywood film, released in 2019, became a critical and commercial success, telling the story of a young woman navigating societal expectations and ambition?","['Lionheart', 'The Wedding Party 2', 'King of Boys', 'Merry Men 2']",A,5e1ca992-6da4-450c-a583-8abbb32a43e4,Nigerian Movies,Nollywood Blockbusters,2025-03-23 15:36:44+00:00
In which year did Nigeria first qualify for the FIFA World Cup?,"['1982', '1986', '1990', '1994']",D,3410970c-e4e3-4c4f-90c6-9880355e873d,Nigerian Sports,World Cup,2025-03-23 15:36:50+00:00
Ayinde Barrister is widely regarded as the pioneer of which genre of Nigerian music?,"['Jùjú', 'Highlife', 'Fuji', 'Afrobeats']",C,825095ba-513e-46f4-8474-b3eaa11f76a2,Nigerian Music,Fuji Music by Ayinde Barrister,2025-03-23 15:36:57+00:00
"Kollington Ayinla, a prominent figure in Fuji music, is often associated with which instrument as a key part of his performances?","['Talking Drum (Dundun)', 'Shekere', 'Gangan', 'Kora']",A,d48a34a0-0644-4b8a-a7b9-3ae82b7f6123,Nigerian Music,Fuji Music by Kollington Ayinla,2025-03-23 15:37:04+00:00
Wasiu Alabi Pasuma is a prominent figure in which genre of Nigerian music?,"['Jùjú', 'Highlife', 'Fuji', 'Afrobeats']",C,6d0c95a5-0087-4355-95c2-6a4780fc2a3d,Nigerian Music,Fuji Music by Wasiu Alabi Pasuma,2025-03-23 15:37:11+00:00
"Fela Kuti's music, Afrobeat, is characterized by a blend of West African musical styles and which other genre?","['Jazz', 'Blues', 'Reggae', 'Classical']",A,7a33aa5f-6501-45bd-a129-7910e97cf84d,Nigerian Music,Afrobeat by Fela Kuti,2025-03-23 15:37:18+00:00
Tony Allen is widely recognized as a pioneer of what rhythmic style within Afrobeat?,"['Highlife drumming', 'Jùjú percussion', 'Afrobeat drumming', 'Apala rhythms']",C,8ee698da-00ce-446e-8ae8-bceabc0d64c0,Nigerian Music,Afrobeat by Tony Allen,2025-03-23 15:37:25+00:00
Fela Kuti's Afrobeat heavily incorporated musical elements from which of the following cultures?,"['Highlife and Jazz', 'Jùjú and Calypso', 'Reggae and Salsa', 'Gospel and Blues']",A,a9a4aec5-d2c4-4a2f-a754-f3f795266fc8,Nigerian Music,Afrobeat Influence,2025-03-23 15:37:36+00:00
Fela Kuti's Afrobeat often featured a prominent horn section. What is a key characteristic of the horn arrangements in his music?,"['Simple, harmonized chords supporting the vocals', 'Complex, interlocking rhythmic patterns and call-and-response', 'Long, sustained melodic lines creating a smooth texture', 'Use of muted trumpets to create a melancholic mood']",B,2a94787b-97d3-4d12-a5c6-a753cf29b0c3,Nigerian Music,Afrobeat Horn Section,2025-03-23 15:37:51+00:00
Which country did Nigeria defeat in the semi-final of the 1996 Olympic football tournament?,"['Brazil', 'Argentina', 'Ghana', 'Portugal']",A,92bb2e96-0925-44e9-8548-1a64c5371246,Nigerian Sports,Super Eagles 1996 Olympics,2025-03-23 15:37:58+00:00
Which coach led the Super Eagles to their first Africa Cup of Nations title in 1980?,"['Otto Glória', 'Sunday Dankaro', 'Thompson Oluwa', 'Fred Osamudiamen']",A,a6bed067-ecff-4320-891a-2d4d214e18d7,Nigerian Sports,Super Eagles Coaches,2025-03-23 15:38:06+00:00
Which club has won the most Nigeria Professional Football League (NPFL) titles as of 2023?,"['Enyimba FC', 'Kano Pillars', 'Lobi Stars', 'Sunshine Stars']",A,4930c5be-0bf0-438f-97d8-6fd1263ad1c3,Nigerian Sports,Nigerian Football League (NPFL),2025-03-23 15:38:13+00:00
Which Nigerian basketball player was drafted 39th overall in the 2015 NBA draft by the Washington Wizards?,"['Al-Farouq Aminu', 'Michael Gbinije', 'Ekpe Udoh', 'Josh Okogie']",B,83f15dd3-27cf-4c36-90f9-1a15ae98ae7f,Nigerian Sports,Nigerian Basketball,2025-03-23 15:38:20+00:00
Which Nigerian athlete won a gold medal in the long jump at the 2000 Sydney Olympics?,"['Chidi Imoh', 'Sunday Uti', 'Yusuf Baba', 'Clarence Munyai']",A,66f20bc5-3928-4896-ae1d-d040f35ffd61,Nigerian Sports,Nigerian Athletics,2025-03-23 15:38:28+00:00
Which Nigerian boxer won a bronze medal at the 1988 Seoul Olympics?,"['David Izonritei', 'Obisia Nwakpa', 'Joe Onwudiwe', 'Peter Konyegwachie']",A,60d235ac-ab66-4b29-8e54-d9fbd8f6d208,Nigerian Sports,Nigerian Boxing,2025-03-23 15:38:35+00:00
Which Nollywood director is renowned for directing the critically acclaimed movie 'Lionheart'?,"['Kunle Afolayan', 'Genevieve Nnaji', 'Ramsey Nouah', 'Desmond Elliot']",B,191df12d-c2f9-486b-93c8-feaf5efccf04,Nigerian Movies,Nollywood Directors,2025-03-23 15:38:42+00:00
"Which Igbo epic film, released in 2014, is widely credited with revitalizing interest in Igbo culture and filmmaking?","['Isioma', 'Lionheart', 'Onye Ozi', 'Amina']",C,b040bde7-f5a3-4d93-9231-1d35ba352b12,Nigerian Movies,Igbo Epic Films,2025-03-23 15:38:50+00:00
Which Nollywood actor is renowned for his roles as a 'bad boy' or villain in numerous Nigerian films?,"['Ramsey Nouah', 'Richard Mofe-Damijo', 'Clem Ohameze', 'Emeka Ike']",C,6817a113-6b99-4574-934e-7b62b4fa50c0,Nigerian Movies,Nollywood Actors,2025-03-23 15:38:57+00:00
"During the 1990s 'Golden Age' of Nollywood, what was a common limitation regarding sound recording on film sets?","['Lack of access to digital audio workstations', 'Poor quality microphones and reliance on direct sound', 'Insufficient training for sound engineers', 'Limited availability of soundproof studios']",B,60e42a63-0495-4810-95e9-08f9ac971330,Nigerian Movies,Technical aspects of Nollywood film production in specific decades,2025-03-23 15:39:14+00:00
Which Nollywood film studio is renowned for producing the highly successful 'Living in Bondage' (1992) and is considered a pioneer in the industry?,"['Mainframe Films and Television Productions', 'Kenneth Nnebue Productions', 'Neemah Productions', 'Granville Film Corporation']",A,3a37f556-68ff-45bc-95bd-db3134606c11,Nigerian Movies,The history of specific Nollywood film studios,2025-03-23 15:39:35+00:00
How have streaming services MOST significantly impacted the distribution of Nollywood films?,"['Increased reliance on cinema releases for initial revenue.', 'Reduced the need for piracy by offering affordable access.', 'Enabled direct-to-video distribution, bypassing traditional channels.', 'Limited the international reach of Nigerian films due to geo-restrictions.']",B,89696253-30be-4e1c-bab4-618b3b50c322,Nigerian Movies,The effect of streaming services on Nollywood Production.,2025-03-23 15:40:00+00:00
The Africa Movie Academy Awards (AMAA) were first held in which year?,"['2003', '2005', '2008', '2006']",B,2465b84b-c07c-4484-be04-317c61d48523,Nigerian Movies,The history of specific Nollywood awards shows.,2025-03-23 15:40:07+00:00
Benin Empire art is particularly renowned for its detailed sculptures crafted from what primary material?,"['Terracotta', 'Wood', 'Bronze', 'Ivory']",C,b12814c0-0995-4315-8949-f856f3d4b73e,Nigerian History/Culture,Benin Empire Art,2025-03-23 15:40:15+00:00
"Within the Oyo Empire's political structure, what was the primary function of the 'Oyomesi'?","['To command the Oyo army in times of war.', ""To serve as the king's personal bodyguards."", 'To select and oversee the Alaafin (king) and act as a council of chiefs.', ""To manage the empire's economic affairs and trade routes.""]",C,9d8bdfb3-7004-4a1d-80f4-6fbdfdfc6f5e,Nigerian History/Culture,Oyo Empire Politics,2025-03-23 15:40:26+00:00
"The Nri Kingdom, prominent among the Igbo, was particularly known for its influence over what aspect of Igbo society?","['Military Conquests', 'Religious Authority and Ritual Expertise', 'Trade with European Powers', 'Agricultural Innovation']",B,d64ac1c6-67e0-42a3-843f-e98e786b58df,Nigerian History/Culture,Igbo Kingdoms,2025-03-23 15:40:34+00:00
"The Trans-Saharan trade routes, crucial to Hausa kingdoms, primarily exchanged goods between West Africa and which other region?","['East Africa', 'North Africa', 'South Africa', 'Egypt']",B,3dbea085-0014-4eb2-9145-76b5bf4b7a6d,Nigerian History/Culture,Hausa Trade Routes,2025-03-23 15:40:41+00:00
Which European power formally established a protectorate over Northern Nigeria in 1903?,"['France', 'Germany', 'Great Britain', 'Portugal']",C,bead61e1-b804-49b6-b3f5-ede0cf53c9b5,Nigerian History/Culture,Nigerian Colonial History,2025-03-23 15:40:55+00:00
What was the primary cause of the Nigerian Civil War (1967-1970)?,"['Religious differences between the North and South', 'Political and economic dominance of the Igbo people and their attempted secession as the Republic of Biafra', 'Border disputes with neighboring Cameroon', 'A military coup led by Northern officers']",B,f10ed61d-f633-4df2-b623-7eb57f6fe643,Nigerian History/Culture,Nigerian Civil War,2025-03-23 15:41:04+00:00
Chinua Achebe's 'Things Fall Apart' is primarily set in which Nigerian ethnic group's territory?,"['Yoruba', 'Hausa-Fulani', 'Igbo', 'Edo']",C,b634229b-2b1f-4ebb-812f-b4a47ab4111c,Nigerian History/Culture,Nigerian Literature,2025-03-23 15:41:11+00:00
Igbomina people of Kwara State are well known for what traditional craft?,"['Wood carving', 'Pottery', 'Weaving of Aso Oke', 'Glass bead making']",C,5340c1f2-da76-40cb-b886-35d8a724a9e8,Nigerian History/Culture,Nigerian Traditional Arts and Crafts,2025-03-23 15:41:23+00:00
Which of these staple foods is central to the cuisine of the Igbo people of Nigeria?,"['Fufu', 'Amala', 'Iyan', 'Yam']",D,c1ea1388-0a20-40fa-85bc-f614a8518ccb,Nigerian History/Culture,Nigerian Food and Cuisine,2025-03-23 15:41:34+00:00
Which Ghanaian musician is widely regarded as a pioneer of Highlife music?,"['E.T. Mensah', 'Osibisa', 'Victor Uwaifo', 'Fela Kuti']",A,5a214984-6629-4225-954e-a49d0d619499,Nigerian Music,Highlife,2025-03-23 15:41:41+00:00
"Juju music, originating in Nigeria, is heavily influenced by which musical genre?","['Highlife', 'Afrobeat', 'Fuji', 'Apala']",A,dd000070-97ec-474f-b697-28704a37788d,Nigerian Music,Juju Music,2025-03-23 15:41:47+00:00
Which Afrobeats artist's breakout hit 'Fall' became the longest-charting Nigerian pop song in Billboard history?,"['Wizkid', 'Davido', 'Burna Boy', 'Rema']",B,0216854b-aac9-4f8a-a6c8-e27a0c68ebed,Nigerian Music,Contemporary Nigerian Pop (Afropop/Afrobeats),2025-03-23 15:41:54+00:00
Which Nigerian gospel artist is renowned for the hit song 'Ekwueme' featuring Prospa Ochimana?,"['Sinach', 'Frank Edwards', 'Mercy Chinwo', 'Ada Ehi']",C,54114d41-3293-44ea-a5b3-06bbf200e467,Nigerian Music,Gospel Music,2025-03-23 15:42:01+00:00
"During the Cold War, many newly independent African nations adopted a policy of non-alignment. What did this policy primarily entail?","['A strong military alliance with the United States.', 'Remaining neutral and avoiding formal alignment with either the US or the Soviet Union.', 'Exclusive economic partnerships with Eastern Bloc countries.', 'Joining the Warsaw Pact for collective security.']",B,6deb568c-d835-48b5-8a0a-8ab0b0c4250d,International Politics,The Cold War and its African Impact,2025-03-23 15:42:12+00:00
What was a primary cause of the 2008 Global Financial Crisis?,"['A surge in oil prices', 'The collapse of the Soviet Union', 'Widespread defaults on subprime mortgages', 'Increased regulation of the banking sector']",C,980711bd-e842-436f-b996-af53f35434fa,International Finance,The 2008 Global Financial Crisis,2025-03-23 15:42:21+00:00
On what date did the Berlin Wall officially fall?,"['November 9, 1989', 'October 27, 1989', 'December 3, 1989', 'January 13, 1990']",A,6613d93a-7833-4a34-8cd4-63694740bfac,World History,The Fall of the Berlin Wall,2025-03-23 15:42:30+00:00
"What protocol is foundational for data communication on the internet, breaking down data into packets for transmission?","['FTP', 'HTTP', 'TCP/IP', 'SMTP']",C,99bfefb7-140c-4371-b8ab-b807b04cb051,Global Technology,The Rise of the Internet,2025-03-23 15:42:37+00:00
Which Michael Jackson album became the first to feature eight singles that reached the top 10 on the Billboard Hot 100 chart?,"['Off the Wall', 'Thriller', 'Bad', 'Dangerous']",B,a624cb6b-a8a5-4d9e-854e-71371b8e513b,World Entertainment,Michael Jackson's Music Career,2025-03-23 15:42:44+00:00
Which country hosted the 1994 FIFA World Cup?,"['France', 'Germany', 'United States', 'Brazil']",C,5ecd4663-e6ba-45fd-99e8-788e30edcd64,Global Sports,The 1994 FIFA World Cup,2025-03-23 15:42:51+00:00
"Which author was awarded the Nobel Prize in Literature in 1982, known for his magical realism and works like 'One Hundred Years of Solitude'?","['Jorge Luis Borges', 'Gabriel García Márquez', 'Julio Cortázar', 'Mario Vargas Llosa']",B,3d8a60d7-5823-470b-ba1d-0f0de244d38c,World Literature,Nobel Prize Winners in Literature,2025-03-23 15:42:58+00:00
Approximately how much of the human genome does coding DNA (genes that code for proteins) comprise?,"['98%', '50%', '2%', '75%']",C,1290bb38-ed78-4cf3-aae7-1ea98b2f8f9c,World Science,The Human Genome Project,2025-03-23 15:43:05+00:00
What is the capital city of Australia?,"['Sydney', 'Melbourne', 'Canberra', 'Perth']",C,b8e0c76b-5814-442f-9a7d-c52f042837d4,General Knowledge,Major World Capitals,2025-03-23 15:43:15+00:00
Which Roman emperor legalized Christianity in the Roman Empire?,"['Nero', 'Augustus', 'Constantine I', 'Diocletian']",C,6077f85b-8a28-43f3-a95f-783582c70872,General Knowledge,Important Historical Figures,2025-03-23 15:43:25+00:00
In which play does the character Iago famously manipulate Othello?,"['Hamlet', 'Macbeth', 'Othello', 'King Lear']",C,3d908cd2-51ee-46cf-b2ee-be8777777c0c,World Literature,The works of Shakespeare,2025-03-23 15:43:32+00:00
Which of the following is a key theme commonly explored in post-colonial literature?,"['The celebration of European imperial power', 'The psychological effects of colonization on both colonizers and the colonized', 'The promotion of cultural assimilation', 'The glorification of traditional hierarchies']",B,1e518d87-6041-4b8d-8c5e-d8316586f92d,World Literature,The rise of post-colonial literature,2025-03-23 15:43:41+00:00
Which author is most closely associated with pioneering the use of magical realism in the novel 'One Hundred Years of Solitude'?,"['Jorge Luis Borges', 'Gabriel García Márquez', 'Isabel Allende', 'Julio Cortázar']",B,1b08779e-0e66-47ab-bf6c-3c13eb4b6e34,World Literature,The influence of magical realism,2025-03-23 15:43:49+00:00
Which scientist(s) are credited with determining the double helix structure of DNA?,"['Rosalind Franklin and Maurice Wilkins', 'James Watson and Francis Crick', 'Erwin Chargaff and Linus Pauling', 'Frederick Griffith and Oswald Avery']",B,145f73eb-c308-4d03-a349-e39abe30a7ca,World Science,The discovery of DNA,2025-03-23 15:43:57+00:00
Which scientist is credited with first demonstrating the concept of nuclear fission?,"['Albert Einstein', 'Enrico Fermi', 'Otto Hahn', 'Marie Curie']",C,1c327f44-4b91-4b32-bb73-1a58983cd2e1,World Science,The development of nuclear energy,2025-03-23 15:44:04+00:00
"According to the theory of special relativity, what happens to time for an object as its speed approaches the speed of light?","['Time speeds up.', 'Time remains constant.', 'Time slows down.', 'Time reverses.']",C,8ed0e8f7-2c2f-4850-8779-73491256c194,World Science,The theory of relativity,2025-03-23 15:44:13+00:00
Which of the following is a core belief of Buddhism?,"['Belief in a creator God', 'The importance of material possessions', 'The cycle of reincarnation and achieving Nirvana', 'Strict adherence to a rigid social hierarchy']",C,1b27a614-0c31-4a1a-89d3-f9d38849f8bc,General Knowledge,Major World Religions,2025-03-23 15:44:25+00:00
What did Alexander Fleming discover in 1928?,"['Insulin', 'Penicillin', 'Vaccination', 'X-rays']",B,f581e149-17bd-4504-ab42-bbf8c2040721,General Knowledge,Important Scientific Discoveries,2025-03-23 15:44:31+00:00
Which of these organizations is primarily focused on maintaining international peace and security?,"['World Health Organization (WHO)', 'United Nations (UN)', 'International Monetary Fund (IMF)', 'World Trade Organization (WTO)']",B,e205cd5c-5357-4c6c-b327-a12749fbaa19,General Knowledge,"Major Global Organizations (UN, WHO, etc.)",2025-03-23 15:44:42+00:00
What was the primary catalyst for the Iranian Revolution of 1979?,"[""The Shah's close alliance with the Soviet Union"", ""Widespread dissatisfaction with the Shah's authoritarian rule and Westernization policies"", 'A sudden economic crisis caused by falling oil prices', 'A military coup led by hardline Islamic clerics']",B,e7ae9f34-d4f8-4ddb-94ce-18a013e54481,International Politics,The Iranian Revolution,2025-03-23 15:44:51+00:00
"The World Trade Organization (WTO) officially came into being on January 1, 1995, but what agreement served as its immediate predecessor and foundation?","['The Bretton Woods Agreement', 'The General Agreement on Tariffs and Trade (GATT)', 'The Havana Charter', 'The Plaza Accord']",B,259b3b74-bc31-4461-ba48-ec71790e7149,International Finance,The creation of the World Trade Organization,2025-03-23 15:45:00+00:00
Which event is widely considered the start of the Russian Revolution in 1917?,"['The assassination of Archduke Franz Ferdinand', 'Bloody Sunday (1905)', 'The February Revolution, beginning with protests in Petrograd', 'The October Manifesto']",C,20848717-0621-4eae-afc8-2628d198deb5,World History,The Russian Revolution,2025-03-23 15:45:08+00:00
What U.S. Department initially funded the development of GPS?,"['Department of Transportation', 'Department of Defense', 'Department of Energy', 'Department of the Interior']",B,f0ad9387-8c31-4082-b4ac-6be4fbe120ec,Global Technology,The development of GPS,2025-03-23 15:45:14+00:00
During which decade did Bollywood begin to gain significant international recognition and a growing global audience?,"['1970s', '1980s', '1990s', '2000s']",C,4c33ef7b-d284-42fd-8cba-2ecd07d25669,World Entertainment,The rise of Bollywood,2025-03-23 15:45:22+00:00
In which year was the first Cricket World Cup held?,"['1971', '1975', '1979', '1983']",B,c97f2ba3-9792-46a2-8e6c-283ef3bc3a71,Global Sports,The history of the Cricket World Cup,2025-03-23 15:45:34+00:00
"In Jane Austen's *Pride and Prejudice*, what is Mr. Darcy's primary estate?","['Rosings Park', 'Pemberley', 'Netherfield Park', 'Longbourn']",B,d4d0ae7c-883d-4f7b-8680-3455c6024cc4,World Literature,The works of Jane Austen,2025-03-23 15:45:41+00:00
Alexander Fleming's discovery of penicillin occurred due to contamination from which mold?,"['Aspergillus niger', 'Penicillium chrysogenum', 'Rhizopus stolonifer', 'Mucor miehei']",B,c9f28955-2c96-42fb-a8f9-fad676e7a9cd,World Science,The discovery of Penicillin,2025-03-23 15:45:48+00:00
What was the primary goal of the Sharpeville Massacre in 1960?,"['To protest against the pass laws requiring Black South Africans to carry identification documents.', 'To celebrate the end of racial segregation in schools.', 'To demand voting rights for all South Africans regardless of race.', 'To advocate for economic sanctions against the South African government.']",A,3f848a4f-2287-45c6-a551-cc86280e9e94,World History,The Apartheid Era in South Africa,2025-03-23 15:45:57+00:00
"Which country launched the first artificial satellite, Sputnik 1, into orbit?","['United States', 'Soviet Union', 'China', 'Germany']",B,a937dc11-3a40-411e-bcea-c92653c45774,Global Technology,The Space Race,2025-03-23 15:46:04+00:00
Which of the following is widely considered one of the first personal computers?,"['ENIAC', 'UNIVAC', 'Altair 8800', 'IBM System/360']",C,f2163744-1e3f-4a63-8f45-f6337c1edac0,Global Technology,The invention of the personal computer,2025-03-23 15:46:11+00:00
Which company is credited with making the first mobile phone call?,"['Nokia', 'Motorola', 'Ericsson', 'Bell Labs']",C,a12ceff4-be99-47d0-ad6b-81e89681be62,Global Technology,The development of mobile phones,2025-03-23 15:46:22+00:00
The Beatles' use of studio techniques like tape looping and backwards recording significantly influenced which genre's development in the late 1960s?,"['Early Hip-Hop', 'Progressive Rock', 'Country Music', 'Classical Minimalism']",B,83296e0d-b89e-4030-a4a0-1e0792937a90,World Entertainment,The Beatles' Influence on Music,2025-03-23 15:46:30+00:00
What pivotal technological advancement significantly contributed to the rise of sound in Hollywood films during the late 1920s?,"['The invention of color film', 'The Vitaphone system for synchronized sound', 'The development of widescreen formats', 'The introduction of portable cameras']",B,548ec6fc-bb0d-4620-95bb-55a976b8b11a,World Entertainment,The rise of Hollywood's Golden Age,2025-03-23 15:46:39+00:00
"What year did MTV first launch, significantly changing how music was consumed?","['1979', '1981', '1983', '1985']",A,2fed3ffb-5156-448d-b952-c7579d5bf1a6,World Entertainment,The advent of MTV and music videos,2025-03-23 15:46:46+00:00
Which nation led the boycott of the 1980 Summer Olympics held in Moscow?,"['United States', 'West Germany', 'Japan', 'Canada']",A,4901f04b-2883-4e3a-82df-1d6f0d8cf304,Global Sports,The Olympic Boycotts of the 1980s,2025-03-23 15:46:53+00:00
Against which opponent did Muhammad Ali win the 'Rumble in the Jungle' in 1974?,"['Joe Frazier', 'George Foreman', 'Sonny Liston', 'Ken Norton']",B,dd19f416-90d3-468e-bcd4-7b6eb802cd6d,Global Sports,Muhammad Ali's Boxing Career,2025-03-23 15:47:00+00:00
Which pioneering Nigerian DJ is widely credited with popularizing hip-hop music in Lagos nightclubs during the 1980s?,"['DJ Jimmy Jatt', 'DJ Cool DJ Jimmy', 'DJ Hazan', 'DJ Xclusive']",A,b0a823e0-8e43-44f3-83ef-7b750dbef655,Nigerian Music,The Role of DJs in Nigerian Music Evolution,2025-03-23 15:47:08+00:00
Which Nigerian player won the UEFA Champions League with FC Porto in 2004?,"['Nwankwo Kanu', 'Joseph Yobo', 'Celestine Babayaro', 'Taribo West']",A,d4edc4d6-ec16-44bc-8a94-810a65bdf88f,Nigerian Sports,Nigerian Players in European Leagues (2000s),2025-03-23 15:47:15+00:00
"In which year did D'Tigers, the Nigerian men's basketball team, first qualify for the Olympic Games?","['2008', '2012', '2016', '2020']",C,fd9c4938-a660-496b-8c85-21898e469ae6,Nigerian Sports,D'Tigers at the Olympics,2025-03-23 15:47:23+00:00
"At the 2016 Paralympic Games in Rio, Nigeria won its first-ever gold medal in Para-Powerlifting. Who was the athlete who achieved this historic feat?","['Paul Kehinde', 'Lucy Ejike', 'Ndidi Nwosu', 'Loveline Obiji']",A,e975b83d-252a-492c-b661-954dc91ecce1,Nigerian Sports,Nigerian Para-athletes and Paralympic Success,2025-03-23 15:47:30+00:00
"Which two Nigerian clubs have historically formed the most intense rivalry, often referred to as the 'Oriental Derby'?","['Enyimba FC and Shooting Stars FC', 'Rangers International and Enugu Rangers', 'Kano Pillars and El-Kanemi Warriors', 'Heartland FC and Abia Warriors']",A,f13e2db9-cc43-4dad-abc1-11fa136e0d11,Nigerian Sports,Rivalries in Nigerian Club Football,2025-03-23 15:47:39+00:00
What is the traditional Nigerian wrestling style known as?,"['Dambe Boxing', 'Schorbe', 'Kokowa', 'Igbogbo']",C,48db9a0a-0d48-4445-a398-d9112a6edb16,Nigerian Sports,Nigerian Wrestlers and Traditional Wrestling,2025-03-23 15:47:46+00:00
What was a significant characteristic of the Nollywood home video boom of the 1990s regarding production budgets?,"['High-budget productions with established film studios', 'Reliance on government funding and grants', 'Extremely low-budget filmmaking, often utilizing minimal equipment', 'Collaborations with Hollywood production companies']",C,1bf0fd58-ab38-4bfd-b724-d3362c376c93,Nigerian Movies,Nollywood Home Video Boom (1990s),2025-03-23 15:47:55+00:00
Which of these actors is renowned for playing the role of a powerful traditional ruler in several Yoruba Nollywood classics?,"['Odunlade Adekola', 'Saidi Balogun', 'Jide Kosoko', 'Femi Adebayo']",C,efbd984a-2d4f-49d4-bc73-9d9d971eb3f5,Nigerian Movies,Yoruba Nollywood Classics,2025-03-23 15:48:03+00:00
Which Kannywood actress is popularly known as 'Mariya'? ,"['Hauwa Maina', 'Mariya Sanusi', 'Fati Wase', 'Ummi Zee-Zee']",B,3a87bb82-9fef-45fa-aec3-74e7247fbe62,Nigerian Movies,Kannywood (Hausa Film Industry),2025-03-23 15:48:10+00:00
"Which of these Nollywood films is widely considered a landmark achievement in early CGI usage, despite its limitations?","['Living in Bondage (1992)', 'Okonkwo (1996)', 'Nneka the Pretty Serpent (1992)', 'Domitilla (1996)']",C,52e5f4a6-9c94-49c7-8048-17ffb3cf0df6,Nigerian Movies,Evolution of Special Effects,2025-03-23 15:48:18+00:00
Which of the following is a primary characteristic of Zero Trust security architecture?,"['Implicit trust based on network location', 'Verification of every user and device before granting access', 'Reliance on perimeter-based firewalls for security', 'Automatic trust granted to all internal users']",B,824ec7ae-d979-4f9a-8fac-67cd9da88135,Global Technology,Cybersecurity Trends in the 21st Century,2025-03-23 15:48:26+00:00
What is the primary function of a 'hash' in the context of blockchain technology?,"['To encrypt the entire blockchain for security.', 'To uniquely identify and verify the integrity of data blocks.', 'To regulate the creation of new cryptocurrency units.', 'To facilitate peer-to-peer transactions without intermediaries.']",B,08f56367-1ac3-44d5-89e5-367ddc8fa2ed,Global Technology,The Rise of Blockchain and Cryptocurrency,2025-03-23 15:48:35+00:00
CRISPR-Cas9 technology is most accurately described as a system for:,"['Developing new types of antibiotics.', 'Precisely editing DNA sequences within organisms.', 'Creating synthetic proteins for industrial use.', 'Mapping the human genome with increased speed.']",B,68b3f1a3-d1fc-4531-98b4-db10b53aa8e9,Global Technology,The Ethics of Genetic Engineering,2025-03-23 15:48:44+00:00
What is a key challenge currently hindering the widespread adoption of perovskite solar cells?,"['Low energy conversion efficiency', 'High manufacturing costs', 'Long-term stability and degradation', 'Lack of suitable materials']",C,c76d8e44-84dd-4c90-9bec-f9d7f3295a75,Global Technology,The Future of Renewable Energy Technology,2025-03-23 15:48:54+00:00
Which of the following is a primary way social media has impacted international news dissemination?,"['Increased reliance on traditional news agencies', 'Slower reporting speeds due to fact-checking protocols', 'Citizen journalism and real-time updates from events', 'Decreased access to information in developing countries']",C,470d445b-58b3-4380-a1a4-136e500955a5,Global Technology,The Impact of Social Media on Global Communication,2025-03-23 15:49:04+00:00
Which Apollo mission was the first to land humans on the Moon?,"['Apollo 11', 'Apollo 13', 'Apollo 8', 'Apollo 17']",A,a70d4301-edb8-4f17-9790-c951939ff5e9,Global Technology,Breakthroughs in Space Exploration,2025-03-23 15:49:17+00:00
Which NASA rover was the first to successfully land on Mars in 1997?,"['Spirit', 'Opportunity', 'Sojourner', 'Curiosity']",C,0d27e5bc-31c0-475e-8af0-263941ce5562,World Science,The Exploration of Mars,2025-03-23 15:49:24+00:00
What is the primary evidence for the existence of dark matter in the universe?,"['Observations of gravitational lensing distorting light from distant galaxies.', 'The detection of WIMPs (Weakly Interacting Massive Particles) in underground laboratories.', 'The observed rotation curves of galaxies, which show stars orbiting faster than expected based on visible matter.', 'The cosmic microwave background radiation exhibiting temperature fluctuations.']",C,ccc6ff9d-b419-47b3-8b01-cddbae6d32bd,World Science,The Role of Dark Matter in the Universe,2025-03-23 15:49:32+00:00
What is the event horizon of a black hole?,"['The physical surface of the black hole.', 'The point of infinite density at the center of the black hole.', 'The boundary beyond which nothing, not even light, can escape.', 'The region where time slows down dramatically.']",C,fbdda407-b6fb-4f28-ab7c-5a58a48854c4,World Science,The Physics Behind Black Holes,2025-03-23 15:49:42+00:00
Which scientist is credited with organizing the elements into the first periodic table based on atomic mass?,"['Antoine Lavoisier', 'John Dalton', 'Dmitri Mendeleev', 'Henry Moseley']",C,33ba8365-15a0-44eb-b330-ee7d05697d7e,World Science,The History of the Periodic Table,2025-03-23 15:49:59+00:00
Which of these medical advancements significantly contributed to the eradication of smallpox?,"['Antibiotics', 'Vaccination', 'Organ Transplantation', 'Chemotherapy']",B,78d4ed78-2f65-4f9b-816a-97d158434116,World Science,Medical Advancements in the Last Century,2025-03-23 15:50:11+00:00
Which of the following is a primary application of soft robotics currently being developed for everyday use?,"['Automated vehicle repair', 'Delicate fruit harvesting and packaging', 'High-speed data transfer', 'Deep-sea mining operations']",B,69b5ed3f-1242-4684-8a5c-df7abeac90c4,World Science,The Future of Robotics in Everyday Life,2025-03-23 15:50:20+00:00
"According to the Big Bang Theory, approximately how long ago did the universe begin?","['4.54 billion years ago', '13.8 billion years ago', '6,000 years ago', '20 billion years ago']",B,4339aa88-2d01-445a-a2b5-ef89ac0e07b6,World Science,The Origins of the Universe and the Big Bang Theory,2025-03-23 15:50:27+00:00
